,level_0,index,count,sentiment,suburb,Name,Tafe,University,high,income,employment,totCount,totSum,Percentage
0,8,307,177,Positive,254,East Melbourne,0.202026,0.524409,0.273565,52188.74074,0.740025,3,477,0.371069
1,11,626,13,Positive,781,ACT - South West,0.236149,0.416591,0.34726,60131.33333,0.775318,3,187,0.069519
2,2,254,237,Positive,218,Bendigo Region - South,0.214912,0.41032,0.374769,49884.84211,0.723079,3,1137,0.208443
3,5,30,72,Positive,113,Glendenning Dean Park,0.255524,0.282421,0.462056,39344.31491,0.691538,3,546,0.131868
4,14,48,82,Positive,120,Bondi Beach - North Bondi,0.386364,0.207792,0.405844,39495.36842,0.806452,3,177,0.463277
,,,,,,,,,,,,,,
,level_0,index,count,sentiment,suburb,Name,Tafe,University,high,income,employment,totCount,totSum,Percentage
0,45,500,40,Negative,337,Ashwood - Chadstone,0.198367,0.455535,0.346098,58688.74074,0.701452,3,81,0.493827
1,305,411,4,Negative,293,Cheltenham - Highett (East),0.31677,0.192547,0.490683,25051.44828,0,3,13,0.307692
2,54,172,39,Negative,176,Auburn,0.394636,0.10728,0.498084,33160.90323,0.696629,3,69,0.565217
3,123,665,9,Negative,94,Berry - Kangaroo Valley,0.318589,0.078462,0.602949,28717.10569,0.592944,3,35,0.257143
4,57,641,31,Negative,792,Campbell,0.225,0.075,0.7,28201.33333,0.756923,3,68,0.455882
,,,,,,,,,,,,,,
,,,Positive,Negative,,,,,,,,,,
,Ashwood - Chadstone,East Melbourne,0.524409,0.455535,,,,,,,,,,
,Cheltenham - Highett (East),ACT - South West,0.416591,0.192547,,,,,,,,,,
,Auburn,Bendigo Region - South,0.41032,0.10728,,,,,,,,,,
,Berry - Kangaroo Valley,Glendenning Dean Park,0.282421,0.078462,,,,,,,,,,
,Campbell,Bondi Beach - North Bondi,0.207792,0.075,,,,,,,,,,
,,,,,,,,,,,,,,
,,,East Melbourne,ACT - South West,Bendigo Region - South,Glendenning Dean Park,Bondi Beach - North Bondi,,,,,,,
,,,"Ashwood - Chadstone
East Melbourne","Cheltenham - Highett (East)
ACT - South West","Auburn
Bendigo Region - South","Berry - Kangaroo Valley
Glendenning Dean Park","Campbell
Bondi Beach - North Bondi",,,,,,,
,,Positive,74%,78%,72%,69%,81%,,,,,,,
,,Negative,70%,0%,70%,59%,76%,,,,,,,
