,id,Tweet,Sentiment,Textblob,Real
0,03bed82df09e8cdf787938a4d9000a5e,Drinking  The Promiscuous Ale by Sow &amp; Piglets Brewery @ Port Campbell Hostel — https://t.co/nhePkCkyed,Neutral,Neutral,Neutral
1,03bed82df09e8cdf787938a4d9002eba,"Cheers Rohan T. - sticky, overripe, juicy peach and nectarine on the nose,... (Veritas 015) https://t.co/lnnrRY1kPY #photo",Positive,Neutral,Positive
2,03bed82df09e8cdf787938a4d90042e1,Drinking a Wayfarer  by @GreenBeaconBrew @ The Union Hotel — https://t.co/tAec0pX1CM,Neutral,Neutral,Neutral
3,03bed82df09e8cdf787938a4d900568e,Drinking an Amber by @wildflowerbeer at @bitterphew — https://t.co/qpiiBitSdm #photo,Neutral,Neutral,Neutral
4,03bed82df09e8cdf787938a4d90058d8,$22 bottle of beer from wildflower @ Australian Capital Territory https://t.co/SEhxtTPj32,Neutral,Neutral,Neutral
5,03bed82df09e8cdf787938a4d90077d9,Too sweet for me. - Drinking an All Day Nelson by @WaywardBeer at @bitterphew  — https://t.co/EkjvlX1Lfm #photo,Positive,Positive,Negative
6,03bed82df09e8cdf787938a4d9008370,Slightly too malty. - Drinking a Tropidelic by @8wiredbrewing at @bitterphew  — https://t.co/1IaQLfYM80 #photo,Neutral,Negative,Negative
7,03bed82df09e8cdf787938a4d900988c,The refreshment I was looking for - Drinking a Rosie's Summer Punch at @biggiesmalls - https://t.co/hGurC4Bn7H #photo,Neutral,Neutral,Positive
8,03bed82df09e8cdf787938a4d900a78f,Yep - Drinking a Fixation IPA by @FixationBrewing @ Lair Of The Jandy  — https://t.co/IOyGQJ2hDd,Neutral,Neutral,Positive
9,03bed82df09e8cdf787938a4d900bb28,&amp;c A few pre-ANZAC Day sharpeners. - Drinking a Pale Ale by @4PinesBeer at @buenavistahotel  — https://t.co/sYMC7xYh0i #photo,Neutral,Negative,Neutral
10,03bed82df09e8cdf787938a4d900ca0c,Drinking an Apricot Berliner Weisse by @PirateLifeBeer at @flodgehotel — https://t.co/QZ8rEluw2w,Neutral,Neutral,Neutral
11,03bed82df09e8cdf787938a4d90104e7,Pretty tasty! - Drinking a Sonic Prayer by @MOBrewing at @thelionhotelsa  — https://t.co/v4rwNmprxK,Positive,Positive,Positive
12,03bed82df09e8cdf787938a4d9011211,Drinking an 55 by @3RAVENS @ Lair Of The Jandy — https://t.co/7HYp2j5FI3,Neutral,Neutral,Neutral
13,03bed82df09e8cdf787938a4d9011d5d,"Very nice. Grapey kiwi hops, delectable, just slightly low on carb - Drinking a Green Limousine at @flodgehotel - https://t.co/eVbxdMocfc",Positive,Positive,Positive
14,03bed82df09e8cdf787938a4d90142b5,Thick &amp; juicy - Drinking a Trip Trap Triple IPA by @goatbeer at @flodgehotel  — https://t.co/jzUjANJaRq,Negative,Negative,Neutral
15,03bed82df09e8cdf787938a4d901c980,Drinking a Leader of The Pack IPA by @thehowlinghound @ Keg and Brew — https://t.co/TfpORbOqKN #photo,Neutral,Neutral,Positive
16,03bed82df09e8cdf787938a4d9022122,Fresh - Drinking a Hop Hog by @FeralBrewing at @flodgehotel  — https://t.co/VTTV8fLT2k,Positive,Positive,Positive
17,03bed82df09e8cdf787938a4d9024255,🇨🇴🇧🇷🇦🇺 #housemates #aussielife #moments #beer @ Arncliffe https://t.co/QEctWPTZOE,Neutral,Neutral,Neutral
